Computational basis states,Probabilities
000000100101010,0.012
000000100101101,0.012
000000100110011,0.012
000000100110100,0.012
000000100110101,0.012
000000100110111,0.012
000000100111000,0.012
000000100111010,0.012
000000100111101,0.012
000000101000001,0.012
000000101000100,0.012
000000101001001,0.012
000000101001100,0.012
000000101001101,0.012
000000101010001,0.012
000000101011000,0.012
000000101100010,0.012
000000101100110,0.012
000000101110000,0.012
000000101111000,0.012
000000110000000,0.012
000000110000011,0.049
000000110000110,0.012
000000110000111,0.012
000000110001001,0.024
000000110001011,0.037
000000110001101,0.012
000000110010000,0.012
000000110010111,0.012
000000110011001,0.024
000000110011011,0.012
000000110011100,0.012
000000110011101,0.012
000000110011111,0.012
000000110100010,0.012
000000110101001,0.024
000000110101010,0.012
000000110101011,0.012
000000110101100,0.024
000000110101111,0.012
000000110110000,0.024
000000110110010,0.012
000000110110101,0.024
000000110111001,0.012
000000111001011,0.012
000000111001110,0.012
000000111010110,0.012
000000111011000,0.012
000000111100101,0.012
000000111101100,0.012
000000111101101,0.012
000000111101110,0.024
000001000000000,0.024
000001000000001,0.061
000001000000010,0.012
000001000000011,0.024
000001000000100,0.012
000001000000101,0.024
000001000000110,0.049
000001000000111,0.012
000001000001000,0.024
000001000001001,0.012
000001000001010,0.012
000001000001011,0.024
000001000001100,0.012
000001000001101,0.037
000001000001110,0.024
000001000010000,0.012
000001000010001,0.024
000001000010011,0.037
000001000010100,0.012
000001000010111,0.012
000001000011010,0.012
000001000011011,0.012
000001000011100,0.037
000001000011101,0.012
000001000011110,0.024
000001000011111,0.012
000001000100000,0.037
000001000100010,0.085
000001000100100,0.012
000001000100101,0.024
000001000100110,0.037
000001000100111,0.037
000001000101001,0.024
000001000101010,0.037
000001000101011,0.061
000001000101101,0.024
000001000101110,0.012
000001000110011,0.012
000001000110100,0.012
000001000110101,0.012
000001000110110,0.012
000001000110111,0.024
000001000111000,0.012
000001000111001,0.024
000001000111010,0.037
000001000111100,0.012
000001000111111,0.012
000001001000000,0.012
000001001000011,0.012
000001001000110,0.037
000001001001001,0.024
000001001001010,0.012
000001001001100,0.012
000001001001101,0.024
000001001010000,0.012
000001001010001,0.012
000001001010110,0.024
000001001011001,0.037
000001001011101,0.012
000001001011111,0.012
000001001100001,0.012
000001001100010,0.024
000001001100011,0.012
000001001100101,0.012
000001001100110,0.024
000001001100111,0.024
000001001101000,0.012
000001001101001,0.012
000001001101111,0.037
000001001110100,0.024
000001001110101,0.012
000001001111011,0.012
000001001111100,0.012
000001001111101,0.037
000001001111110,0.012
000001001111111,0.012
000001010000000,0.012
000001010000001,0.049
000001010000010,0.012
000001010000011,0.037
000001010000100,0.024
000001010000101,0.024
000001010000111,0.037
000001010001010,0.012
000001010001011,0.012
000001010001100,0.012
000001010001101,0.012
000001010010000,0.012
000001010010110,0.037
000001010010111,0.024
000001010011000,0.024
000001010011011,0.024
000001010011110,0.024
000001010011111,0.012
000001010100000,0.024
000001010100001,0.012
000001010100010,0.012
000001010100011,0.012
000001010100100,0.012
000001010100101,0.012
000001010100110,0.012
000001010100111,0.024
000001010101000,0.012
000001010101010,0.024
000001010101011,0.012
000001010101100,0.012
000001010101101,0.024
000001010101111,0.012
000001010110001,0.012
000001010110010,0.012
000001010110100,0.012
000001010110101,0.024
000001010110110,0.024
000001010110111,0.012
000001010111000,0.012
000001010111011,0.012
000001010111101,0.012
000001010111110,0.012
000001011000000,0.024
000001011000001,0.012
000001011000100,0.012
000001011000110,0.012
000001011001100,0.012
000001011001110,0.012
000001011001111,0.012
000001011010100,0.012
000001011010110,0.012
000001011011000,0.012
000001011011010,0.012
000001011011100,0.012
000001011011111,0.012
000001011100000,0.012
000001011100010,0.012
000001011100101,0.012
000001011100110,0.012
000001011101001,0.024
000001011101010,0.012
000001011101101,0.012
000001011101110,0.024
000001011101111,0.012
000001011110100,0.012
000001011111111,0.012
000001100000011,0.024
000001100000100,0.012
000001100000101,0.012
000001100000111,0.012
000001100001001,0.012
000001100001010,0.012
000001100001011,0.024
000001100001100,0.024
000001100001101,0.012
000001100001110,0.012
000001100010000,0.012
000001100010110,0.012
000001100011001,0.012
000001100011010,0.037
000001100011110,0.037
000001100100000,0.012
000001100100001,0.012
000001100100010,0.012
000001100100111,0.012
000001100101001,0.012
000001100101010,0.037
000001100110000,0.012
000001100110001,0.012
000001100110010,0.012
000001100111001,0.024
000001100111010,0.012
000001100111101,0.012
000001101000100,0.012
000001101000110,0.024
000001101000111,0.012
000001101001011,0.012
000001101001101,0.024
000001101010001,0.012
000001101010010,0.012
000001101010110,0.012
000001101011110,0.012
000001101100000,0.012
000001101100001,0.012
000001101100101,0.012
000001101100111,0.012
000001101101000,0.012
000001101101011,0.012
000001101101101,0.012
000001110000010,0.024
000001110001000,0.012
000001110001010,0.012
000001110001011,0.012
000001110001111,0.012
000001110011000,0.012
000001110011010,0.012
000001110011101,0.024
000001110011110,0.012
000001110011111,0.049
000001110100000,0.012
000001110100001,0.012
000001110100101,0.012
000001110101010,0.012
000001110101101,0.012
000001110101110,0.049
000001110110010,0.024
000001110110011,0.012
000001110110100,0.012
000001110111011,0.012
000001110111100,0.012
000001111001011,0.012
000001111001110,0.012
000001111010011,0.012
000001111010110,0.012
000001111011001,0.012
000001111100001,0.012
000001111100101,0.012
000001111100110,0.012
000001111101000,0.012
000001111101101,0.012
000001111110010,0.012
000001111111001,0.012
000001111111110,0.012
000010000000001,0.024
000010000000010,0.024
000010000000011,0.012
000010000000100,0.012
000010000000110,0.012
000010000000111,0.037
000010000001000,0.049
000010000001001,0.024
000010000001010,0.012
000010000001011,0.012
000010000001100,0.024
000010000001101,0.024
000010000001111,0.012
000010000010100,0.037
000010000010101,0.012
000010000010110,0.012
000010000011001,0.024
000010000011010,0.024
000010000100000,0.024
000010000100001,0.012
000010000100100,0.012
000010000100110,0.012
000010000101000,0.012
000010000101001,0.012
000010000101010,0.012
000010000101011,0.024
000010000101100,0.012
000010000110001,0.012
000010000110010,0.012
000010000110110,0.012
000010000111100,0.012
000010000111101,0.024
000010000111110,0.012
000010001000000,0.012
000010001000010,0.012
000010001000101,0.024
000010001000111,0.024
000010001001011,0.012
000010001001100,0.024
000010001010001,0.012
000010001010010,0.012
000010001010110,0.012
000010001010111,0.024
000010001011011,0.012
000010001011110,0.024
000010001100100,0.012
000010001100110,0.012
000010001101001,0.024
000010001101011,0.012
000010001101111,0.012
000010001110011,0.024
000010001111010,0.012
000010010000001,0.024
000010010000100,0.012
000010010000101,0.012
000010010001000,0.037
000010010001011,0.012
000010010001111,0.012
000010010010001,0.024
000010010010100,0.024
000010010010110,0.037
000010010011000,0.012
000010010011001,0.012
000010010011010,0.012
000010010011011,0.012
000010010011111,0.012
000010010100000,0.012
000010010100010,0.024
000010010100100,0.012
000010010101001,0.024
000010010101011,0.012
000010010101100,0.024
000010010101101,0.012
000010010101110,0.012
000010010101111,0.012
000010010110000,0.012
000010010110001,0.012
000010010110011,0.012
000010010110100,0.012
000010010110111,0.012
000010010111000,0.024
000010010111001,0.012
000010010111010,0.024
000010010111101,0.012
000010011000100,0.012
000010011001000,0.012
000010011010001,0.024
000010011011001,0.012
000010011011111,0.012
000010011100001,0.012
000010011100110,0.012
000010011101100,0.012
000010011110001,0.012
000010011110101,0.012
000010011110111,0.012
000010100000000,0.012
000010100000101,0.012
000010100000111,0.012
000010100001010,0.012
000010100001100,0.024
000010100001101,0.012
000010100001110,0.012
000010100010100,0.037
000010100010111,0.012
000010100011001,0.012
000010100011101,0.012
000010100011111,0.012
000010100100000,0.024
000010100100011,0.012
000010100100111,0.012
000010100101000,0.037
000010100101010,0.024
000010100101101,0.012
000010100110010,0.012
000010100110100,0.012
000010100110101,0.037
000010101000111,0.012
000010101001000,0.012
000010101010010,0.012
000010101011000,0.012
000010101100100,0.012
000010101101010,0.012
000010101110100,0.012
000010101111100,0.012
000010101111110,0.012
000010110000000,0.012
000010110000001,0.012
000010110000101,0.012
000010110000111,0.012
000010110001011,0.012
000010110001101,0.012
000010110010010,0.012
000010110010110,0.012
000010110011000,0.024
000010110011100,0.012
000010110100000,0.012
000010110100101,0.024
000010110100111,0.012
000010110101000,0.012
000010110101100,0.012
000010110101110,0.012
000010110110010,0.012
000010110110101,0.012
000010110111110,0.012
000010111011001,0.012
000010111101100,0.012
000010111110000,0.012
000010111110111,0.012
000011000000001,0.012
000011000000010,0.024
000011000000011,0.012
000011000000111,0.012
000011000001010,0.012
000011000001011,0.012
000011000001110,0.012
000011000001111,0.012
000011000010000,0.024
000011000010001,0.012
000011000010010,0.012
000011000010101,0.024
000011000010110,0.012
000011000010111,0.012
000011000011000,0.012
000011000011011,0.012
000011000011100,0.012
000011000011101,0.012
000011000100001,0.024
000011000100010,0.012
000011000100100,0.024
000011000100111,0.012
000011000101000,0.024
000011000101001,0.024
000011000101010,0.024
000011000101100,0.024
000011000101101,0.024
000011000101110,0.012
000011000101111,0.012
000011000110001,0.024
000011000110011,0.024
000011000110100,0.024
000011000110101,0.024
000011000110111,0.024
000011000111000,0.012
000011000111010,0.024
000011001000000,0.012
000011001000001,0.012
000011001000110,0.012
000011001001010,0.012
000011001001110,0.012
000011001010011,0.012
000011001010110,0.024
000011001011000,0.012
000011001011001,0.012
000011001011110,0.012
000011001011111,0.012
000011001100000,0.012
000011001100111,0.012
000011001110100,0.012
000011010000001,0.037
000011010000100,0.012
000011010000110,0.012
000011010000111,0.012
000011010001000,0.012
000011010001001,0.024
000011010001010,0.049
000011010001110,0.012
000011010001111,0.024
000011010010001,0.024
000011010010110,0.024
000011010010111,0.024
000011010011001,0.024
000011010011010,0.024
000011010011011,0.012
000011010011100,0.012
000011010011110,0.012
000011010100010,0.012
000011010100011,0.012
000011010100101,0.024
000011010100111,0.024
000011010101001,0.024
000011010101010,0.024
000011010101011,0.012
000011010101101,0.024
000011010101110,0.024
000011010101111,0.012
000011010110000,0.012
000011010110101,0.012
000011010110110,0.024
000011010110111,0.012
000011010111011,0.012
000011010111100,0.012
000011010111101,0.012
000011010111110,0.012
000011010111111,0.012
000011011000010,0.012
000011011000011,0.012
000011011000101,0.012
000011011001010,0.024
000011011001011,0.012
000011011011010,0.012
000011011011111,0.012
000011011100000,0.012
000011011100001,0.012
000011011101001,0.012
000011011101110,0.012
000011011101111,0.012
000011011110000,0.012
000011011110101,0.012
000011011111010,0.012
000011011111111,0.012
000011100000100,0.024
000011100000101,0.024
000011100000110,0.012
000011100000111,0.037
000011100001000,0.012
000011100010010,0.012
000011100010011,0.012
000011100100000,0.012
000011100100010,0.024
000011100100100,0.012
000011100100101,0.012
000011100100110,0.024
000011100100111,0.012
000011100101010,0.012
000011100101011,0.012
000011100101110,0.012
000011100110000,0.024
000011100110001,0.012
000011100111000,0.012
000011100111110,0.012
000011101000110,0.024
000011101001100,0.012
000011101010001,0.012
000011101011110,0.012
000011101101010,0.024
000011101110000,0.012
000011101110110,0.012
000011110000000,0.012
000011110000101,0.024
000011110000111,0.012
000011110001000,0.024
000011110001001,0.012
000011110010110,0.024
000011110011001,0.012
000011110100000,0.012
000011110100001,0.012
000011110100010,0.012
000011110100011,0.012
000011110100101,0.024
000011110101111,0.012
000011110110001,0.012
000011110110011,0.012
000011110110101,0.024
000011110111010,0.012
000011111011000,0.012
000011111011001,0.012
000011111011101,0.012
000011111011111,0.012
000011111100100,0.012
000011111110001,0.012
000011111110011,0.012
000011111111100,0.012
000100000000001,0.037
000100000000010,0.024
000100000000100,0.012
000100000000101,0.037
000100000000110,0.012
000100000000111,0.024
000100000001000,0.012
000100000001010,0.073
000100000001011,0.037
000100000001100,0.024
000100000001101,0.024
000100000001110,0.012
000100000010000,0.012
000100000011000,0.012
000100000011001,0.037
000100000011010,0.012
000100000011011,0.024
000100000011101,0.024
000100000011110,0.012
000100000011111,0.012
000100000100001,0.012
000100000100011,0.024
000100000100100,0.012
000100000100101,0.049
000100000100111,0.012
000100000101000,0.012
000100000101010,0.012
000100000101101,0.012
000100000101110,0.012
000100000101111,0.012
000100000110010,0.012
000100000110100,0.024
000100000110101,0.012
000100000110110,0.012
000100000111000,0.024
000100000111001,0.012
000100000111010,0.012
000100000111011,0.012
000100001000000,0.024
000100001000001,0.012
000100001000010,0.012
000100001000110,0.012
000100001001000,0.012
000100001001001,0.012
000100001001100,0.012
000100001001101,0.012
000100001001110,0.012
000100001010000,0.012
000100001010011,0.012
000100001011000,0.012
000100001011010,0.012
000100001011011,0.012
000100001011101,0.012
000100001100000,0.012
000100001100110,0.012
000100001101000,0.012
000100001101011,0.012
000100001101110,0.012
000100001101111,0.024
000100001111100,0.024
000100001111101,0.012
000100010000000,0.024
000100010000001,0.012
000100010000010,0.012
000100010000011,0.024
000100010000100,0.012
000100010000101,0.012
000100010000110,0.012
000100010001000,0.037
000100010001010,0.037
000100010001100,0.024
000100010001101,0.037
000100010001111,0.012
000100010010000,0.012
000100010010110,0.037
000100010011010,0.012
000100010011101,0.037
000100010011111,0.012
000100010100000,0.012
000100010100011,0.012
000100010100100,0.049
000100010100101,0.012
000100010100110,0.037
000100010101000,0.012
000100010101001,0.012
000100010101010,0.024
000100010101011,0.012
000100010101100,0.024
000100010101101,0.012
000100010101110,0.012
000100010110010,0.012
000100010110101,0.024
000100010110110,0.012
000100010111010,0.024
000100011000001,0.012
000100011000010,0.012
000100011000110,0.012
000100011000111,0.012
000100011001110,0.012
000100011010001,0.024
000100011010011,0.012
000100011010100,0.012
000100011011001,0.012
000100011011010,0.012
000100011011110,0.012
000100011100100,0.012
000100011100110,0.012
000100011100111,0.012
000100011101000,0.012
000100011110011,0.012
000100011110110,0.024
000100011111001,0.012
000100011111010,0.012
000100011111100,0.012
000100100000000,0.012
000100100001000,0.012
000100100001010,0.037
000100100001100,0.012
000100100001110,0.037
000100100010001,0.024
000100100010010,0.012
000100100010011,0.037
000100100010100,0.012
000100100011000,0.012
000100100011011,0.012
000100100011110,0.024
000100100100110,0.012
000100100100111,0.012
000100100101000,0.012
000100100101001,0.012
000100100101101,0.012
000100100101110,0.024
000100100110000,0.024
000100100110001,0.012
000100100110011,0.024
000100100110110,0.012
000100100110111,0.012
000100100111000,0.012
000100100111001,0.012
000100100111010,0.012
000100100111011,0.012
000100100111100,0.012
000100100111110,0.012
000100100111111,0.012
000100101000010,0.012
000100101000100,0.012
000100101000111,0.012
000100101001101,0.012
000100101001111,0.012
000100101010110,0.012
000100101100100,0.012
000100101100101,0.012
000100101101011,0.024
000100101101100,0.012
000100101101111,0.012
000100110000000,0.012
000100110000010,0.012
000100110000011,0.012
000100110000100,0.024
000100110001000,0.012
000100110001001,0.024
000100110001010,0.024
000100110001100,0.012
000100110001101,0.012
000100110001110,0.024
000100110001111,0.012
000100110010000,0.024
000100110010001,0.012
000100110010010,0.024
000100110010011,0.012
000100110010111,0.012
000100110011001,0.024
000100110011111,0.012
000100110100101,0.012
000100110100111,0.012
000100110101001,0.024
000100110101010,0.012
000100110101100,0.012
000100110110001,0.012
000100110111000,0.012
000100110111010,0.012
000100110111011,0.012
000100110111101,0.012
000100111000110,0.012
000100111001101,0.012
000100111001110,0.012
000100111001111,0.012
000100111010100,0.012
000100111011001,0.012
000100111011101,0.012
000100111100000,0.012
000100111100100,0.012
000100111101010,0.012
000100111111010,0.012
000100111111011,0.012
000100111111110,0.012
000101000000000,0.024
000101000000001,0.037
000101000000010,0.024
000101000000100,0.012
000101000000101,0.012
000101000001001,0.012
000101000001011,0.012
000101000001100,0.012
000101000001101,0.024
000101000001110,0.024
000101000001111,0.024
000101000010000,0.012
000101000010100,0.012
000101000010101,0.012
000101000010111,0.012
000101000011010,0.012
000101000011011,0.037
000101000011101,0.012
000101000011111,0.012
000101000100000,0.012
000101000100001,0.024
000101000100100,0.024
000101000100110,0.024
000101000101001,0.012
000101000101010,0.024
000101000101111,0.049
000101000110001,0.012
000101000110011,0.012
000101000110110,0.012
000101000111010,0.012
000101000111101,0.024
000101000111110,0.024
000101001000000,0.012
000101001000001,0.012
000101001000010,0.037
000101001000100,0.012
000101001001000,0.024
000101001001001,0.012
000101001001101,0.012
000101001001111,0.024
000101001010010,0.012
000101001010111,0.012
000101001011000,0.012
000101001011001,0.037
000101001011010,0.024
000101001011011,0.012
000101001011100,0.024
000101001011101,0.012
000101001011111,0.012
000101001100011,0.012
000101001100110,0.012
000101001101001,0.012
000101001101010,0.012
000101001101100,0.012
000101001110000,0.012
000101001110001,0.012
000101001110111,0.012
000101001111110,0.012
000101010000000,0.024
000101010000001,0.024
000101010000010,0.024
000101010000101,0.024
000101010000110,0.012
000101010001010,0.037
000101010001011,0.012
000101010001101,0.012
000101010010010,0.024
000101010010011,0.024
000101010011000,0.012
000101010011010,0.012
000101010011011,0.012
000101010011101,0.012
000101010011111,0.012
000101010100000,0.012
000101010100001,0.012
000101010100010,0.012
000101010100100,0.037
000101010100101,0.024
000101010100110,0.024
000101010100111,0.012
000101010101000,0.012
000101010101001,0.012
000101010101010,0.012
000101010101100,0.024
000101010101101,0.037
000101010101110,0.012
000101010101111,0.037
000101010110000,0.024
000101010110110,0.012
000101010110111,0.012
000101010111010,0.012
000101010111101,0.024
000101011000011,0.024
000101011000100,0.012
000101011001000,0.012
000101011001100,0.012
000101011010010,0.024
000101011011000,0.012
000101011011100,0.012
000101011100011,0.024
000101011101011,0.012
000101011101110,0.012
000101011110000,0.012
000101011110001,0.012
000101011110111,0.012
000101100000000,0.037
000101100000001,0.024
000101100000011,0.012
000101100001010,0.012
000101100001011,0.024
000101100001100,0.024
000101100001110,0.012
000101100001111,0.024
000101100010000,0.012
000101100010001,0.012
000101100010011,0.024
000101100010100,0.012
000101100010101,0.012
000101100010110,0.024
000101100011010,0.012
000101100011100,0.037
000101100011101,0.024
000101100011110,0.012
000101100011111,0.012
000101100100000,0.012
000101100100001,0.012
000101100100011,0.012
000101100100110,0.012
000101100100111,0.012
000101100101001,0.012
000101100101010,0.012
000101100101100,0.012
000101100101110,0.012
000101100101111,0.012
000101100110000,0.012
000101100110010,0.012
000101100110100,0.012
000101100110101,0.012
000101100111001,0.012
000101100111100,0.012
000101100111111,0.012
000101101000001,0.012
000101101000110,0.012
000101101001001,0.012
000101101001111,0.012
000101101011001,0.012
000101101100111,0.012
000101101101010,0.012
000101101110010,0.024
000101101110011,0.012
000101101111001,0.012
000101101111011,0.024
000101101111101,0.012
000101110000000,0.012
000101110000010,0.012
000101110000011,0.012
000101110000100,0.012
000101110000101,0.037
000101110000110,0.012
000101110001001,0.012
000101110001010,0.037
000101110001011,0.012
000101110001100,0.037
000101110010000,0.024
000101110010011,0.012
000101110010110,0.012
000101110011000,0.024
000101110011001,0.024
000101110011010,0.012
000101110011011,0.012
000101110011110,0.012
000101110011111,0.012
000101110100000,0.012
000101110100001,0.012
000101110100010,0.012
000101110100011,0.049
000101110100100,0.012
000101110100101,0.012
000101110100111,0.012
000101110101001,0.012
000101110101010,0.037
000101110101011,0.012
000101110101100,0.024
000101110101101,0.012
000101110101110,0.012
000101110110001,0.012
000101110110010,0.012
000101110111000,0.012
000101110111110,0.012
000101111000000,0.012
000101111000001,0.012
000101111000010,0.012
000101111000110,0.037
000101111001000,0.012
000101111001100,0.024
000101111010000,0.012
000101111011100,0.012
000101111100001,0.012
000101111100010,0.012
000101111101001,0.012
000101111101010,0.012
000101111110001,0.012
000101111110010,0.012
000101111110110,0.012
000101111111101,0.012
000110000000000,0.024
000110000000001,0.024
000110000000011,0.037
000110000000110,0.012
000110000001010,0.012
000110000001110,0.012
000110000001111,0.024
000110000010010,0.012
000110000010011,0.012
000110000010100,0.012
000110000010110,0.012
000110000011000,0.012
000110000011001,0.012
000110000011111,0.012
000110000100000,0.012
000110000100001,0.024
000110000100110,0.024
000110000100111,0.037
000110000101000,0.012
000110000101001,0.024
000110000101011,0.012
000110000101100,0.012
000110000101101,0.024
000110000101110,0.012
000110000110001,0.012
000110000110010,0.024
000110000110011,0.012
000110000110110,0.012
000110000111111,0.012
000110001000000,0.012
000110001000001,0.012
000110001000010,0.012
000110001001001,0.037
000110001001011,0.012
000110001011110,0.012
000110001011111,0.012
000110001100000,0.012
000110001100100,0.012
000110001100110,0.012
000110001101000,0.012
000110001101001,0.012
000110001101101,0.012
000110001110101,0.012
000110001111000,0.012
000110001111011,0.012
000110001111111,0.012
000110010000000,0.024
000110010000010,0.012
000110010000100,0.012
000110010001011,0.012
000110010001100,0.012
000110010001111,0.012
000110010010000,0.012
000110010010011,0.012
000110010010100,0.012
000110010010111,0.012
000110010011001,0.012
000110010011010,0.012
000110010011011,0.012
000110010011110,0.012
000110010011111,0.012
000110010100000,0.024
000110010100001,0.012
000110010100011,0.012
000110010100100,0.012
000110010100101,0.024
000110010101010,0.024
000110010101100,0.037
000110010101101,0.012
000110010110001,0.012
000110010110100,0.012
000110010110101,0.024
000110010111000,0.012
000110010111011,0.012
000110010111110,0.012
000110010111111,0.012
000110011000001,0.012
000110011001100,0.012
000110011010101,0.012
000110011011000,0.012
000110011011100,0.012
000110011101001,0.012
000110011101111,0.012
000110011111100,0.012
000110011111110,0.012
000110011111111,0.012
000110100000000,0.012
000110100000010,0.012
000110100001000,0.012
000110100001001,0.024
000110100001010,0.012
000110100001101,0.012
000110100001110,0.012
000110100010001,0.024
000110100010011,0.012
000110100010101,0.012
000110100010110,0.037
000110100011000,0.012
000110100011101,0.012
000110100011111,0.012
000110100100000,0.012
000110100100001,0.012
000110100100011,0.012
000110100100100,0.024
000110100101000,0.012
000110100101101,0.012
000110100101110,0.012
000110101000010,0.012
000110101000100,0.012
000110101000110,0.024
000110101001000,0.012
000110101010011,0.012
000110101011000,0.012
000110101011110,0.012
000110101011111,0.012
000110101101001,0.012
000110101101010,0.012
000110101101100,0.012
000110101101110,0.012
000110101111001,0.012
000110110000010,0.012
000110110000101,0.012
000110110000110,0.024
000110110001011,0.012
000110110010000,0.012
000110110010011,0.012
000110110010110,0.012
000110110011011,0.012
000110110011110,0.024
000110110100001,0.012
000110110100011,0.012
000110110100100,0.012
000110110100110,0.024
000110110101000,0.024
000110110101001,0.012
000110110101010,0.012
000110110101100,0.037
000110110101101,0.012
000110110101111,0.012
000110110110110,0.012
000110110110111,0.012
000110110111101,0.024
000110110111111,0.012
000110111000010,0.012
000110111000110,0.012
000110111001000,0.012
000110111010100,0.012
000110111011100,0.012
000110111011101,0.012
000110111111100,0.012
000110111111101,0.012
000111000000010,0.012
000111000000101,0.012
000111000000110,0.012
000111000001010,0.012
000111000001011,0.012
000111000001101,0.024
000111000001111,0.024
000111000010001,0.012
000111000010111,0.012
000111000011000,0.012
000111000011100,0.024
000111000011101,0.012
000111000011111,0.012
000111000100010,0.049
000111000100110,0.012
000111000100111,0.012
000111000101010,0.012
000111000101100,0.024
000111000101101,0.024
000111000101111,0.024
000111000110001,0.012
000111000110010,0.012
000111000111001,0.012
000111000111101,0.012
000111000111110,0.012
000111001000001,0.012
000111001001001,0.012
000111001001010,0.012
000111001001101,0.012
000111001010011,0.012
000111001010101,0.012
000111001010110,0.012
000111001100000,0.012
000111001101000,0.024
000111001101011,0.012
000111001101100,0.012
000111001101111,0.012
000111001110010,0.012
000111001110100,0.012
000111001110111,0.012
000111001111010,0.024
000111001111110,0.012
000111010000010,0.012
000111010000011,0.024
000111010000111,0.012
000111010001011,0.012
000111010001100,0.012
000111010001101,0.012
000111010001111,0.012
000111010010000,0.012
000111010010010,0.012
000111010010100,0.024
000111010010110,0.012
000111010011100,0.024
000111010100011,0.012
000111010100100,0.012
000111010101010,0.024
000111010101100,0.024
000111010110000,0.012
000111010110011,0.012
000111010110100,0.012
000111010111001,0.012
000111011000001,0.012
000111011000100,0.012
000111011000101,0.012
000111011001000,0.024
000111011001001,0.012
000111011010100,0.012
000111011010110,0.012
000111011011101,0.012
000111011100001,0.012
000111011100110,0.012
000111011110101,0.012
000111011111111,0.012
000111100000000,0.012
